variety regime temp photo leak
1       0       1       4.6386  2.25
1       0       1       5.7914  4.34
1       0       1       29.3515 4.25
1       0       1       18.4173 6.14
1       0       1       2.2556  2.38
1       0       2       8.2358  16.3
1       0       2       8.1972  5.24
1       0       2       -2.4482 3.25
1       0       2       5.282   0.88
1       0       2       -5.1283 3.98
1       1       1       11.535  1.08
1       1       1       -0.2815 -0.12
1       1       1       14.1561 -1.11
1       1       1       12.0284 0.97
1       1       1       24.28   3.31
1       1       1       6.6309  2.99
1       1       1       11.8404 2.17
1       1       1       7.166   -0.85
1       1       1       11.2038 2.48
1       1       1       3.8188  6.69
1       1       1       8.311   7.84
1       1       1       10.7744 2.62
1       1       2       16.4557 5.86
1       1       2       14.2671 4.88
1       1       2       14.3533 -0.48
1       1       2       20.8656 8.77
1       1       2       25.2601 6.74
1       1       2       15.287  14.02
1       1       2       4.1481  16.93
1       1       2       18.9336 7.96
1       1       2       29.4692 25.39
1       1       2       22.8031 6
1       1       2       13.7154 11.91
1       1       2       15.7725 25.53
1       1       2       14.9158 9.26
2       0       1       33.3187 31.76
2       0       1       38.1087 38.42
2       0       1       39.1991 34.12
2       0       1       33.2856 34.81
2       0       1       27.0099 14.17
2       0       1       37.7568 34.01
2       0       1       44.061  34.76
2       0       1       42.0634 13.05
2       0       1       40.1894 25.61
2       0       1       30.6163 7.04
2       0       1       28.5171 7.49
2       0       1       21.766  6.56
2       0       1       24.6486 9.14
2       0       2       25.2344 42.25
2       0       2       22.7119 41.13
2       0       2       19.5526 29.12
2       0       2       43.3872 48.11
2       0       2       38.6863 29.91
2       0       2       32.1146 48.98
2       0       2       33.8209 30.83
2       0       2       34.6288 21.05
2       0       2       44.6092 50.91
2       0       2       -8.5655 10.17
2       0       2       15.1012 25.41
2       0       2       10.8778 16.83
2       0       2       9.7955  25.47
2       1       1       6.831   0.79
2       1       1       11.9232 3.31
2       1       1       -0.8043 2.51
2       1       1       15.0218 3.67
2       1       1       7.8724  -0.49
2       1       1       2.8905  3.12
2       1       1       11.6731 4.02
2       1       2       3.6064  10.52
2       1       2       3.9008  11.38
2       1       2       10.3614 14.46
2       1       2       8.6263  10.63
2       1       2       18.9236 8.36
2       1       2       17.7902 11.13
2       1       2       20.1395 2.18
